45, 90,90
171, 90,90
234, 90,90
309, 90,90
355, 90,90
400, 90,90
446, 90,90
491, 90,90
537, 90,90
583, 90,90
628, 90,90
674, 90,90
720, 90,90
766, 90,90
811, 90,90
857, 90,90
903, 90,90
948, 90,90
994, 90,90
1040, 90,90
1085, 90,90
1131, 90,90
1177, 90,90
1222, 90,90
1268, 90,90
1314, 90,90
1360, 90,90
1406, 90,90
1451, 90,90
1497, 90,90
1543, 90,90
1588, 90,90
1634, 90,90
1680, 90,90
1726, 90,90
1771, 90,90
1817, 90,90
1863, 90,90
1908, 90,90
1954, 90,90
2000, 90,90
2046, 90,90
2091, 90,90
2137, 90,90
2183, 90,90
2228, 90,90
2274, 90,90
2320, 90,90
2366, 90,90
2411, 90,90
2457, 90,90
2503, 90,90
2548, 90,90
2594, 90,90
2640, 90,90
2686, 90,90
2731, 90,90
2777, 90,90
2823, 90,90
2868, 90,90
2914, 90,90
2960, 90,90
3006, 90,90
3051, 90,90
3097, 90,90
3143, 90,90
3188, 90,90
3234, 90,90
3280, 90,90
3326, 90,90
3371, 90,90
3418, 90,90
3463, 90,90
3509, 90,90
3555, 90,90
3600, 90,90
3646, 90,90
3691, 90,90
3737, 90,90
3783, 90,90
3828, 90,90
3874, 90,90
3920, 90,90
3966, 90,90
4011, 90,90
4057, 90,90
4103, 90,90
4148, 90,90
4194, 90,90
4240, 90,90
4286, 90,90
4332, 90,90
4377, 90,90
4423, 90,90
4468, 90,90
4514, 90,90
4560, 90,90
4606, 90,90
4651, 90,90
4697, 90,90
4743, 90,90
4788, 90,90
4834, 90,90
4880, 90,90
4926, 90,90
4971, 90,90
5017, 90,90
5109, 332,580
5155, 663,670
5200, 705,763
5246, 796,834
5291, 834,890
5337, 927,946
5382, 965,976
5427, 1036,1065
5473, 1064,1042
5518, 1087,1059
5564, 1069,1116
5610, 1112,1159
5655, 1172,1187
5701, 1143,1169
5747, 1141,1141
5792, 1197,1128
5837, 1160,1098
5883, 1155,1023
5928, 1182,1036
5974, 1157,1061
6019, 1153,1059
6065, 1139,1081
6110, 1143,1160
6156, 1145,1112
6201, 1130,1155
6247, 1195,1198
6293, 1208,1194
6338, 1215,1198
6384, 1210,1208
6430, 1208,1208
6475, 1175,1134
6520, 1151,1158
6566, 1168,1176
6612, 1189,1191
6657, 1204,1204
6703, 1190,1214
6748, 1229,1218
6793, 1206,1209
6838, 1201,1229
6883, 1240,1244
7017, 842,806
7063, 736,519
7108, 443,402
7154, 337,273
7200, 208,208
7246, 208,208
7291, 208,208
7337, 208,208
7383, 208,208
7428, 208,208
7474, 208,208
7520, 208,208
7566, 208,208
7611, 208,208
7657, 208,208
7703, 208,208
7748, 208,208
7794, 208,208
7840, 208,208
7886, 208,208
7931, 208,208
7977, 208,208
8023, 208,208
8068, 208,208
8114, 208,208
8160, 208,208
8206, 208,208
8251, 208,208
8297, 208,208
8343, 208,208
8388, 208,208
8434, 208,208
8480, 208,208
8526, 208,208
8571, 208,208
8617, 208,208
8663, 208,208
8708, 208,208
8754, 208,208
8800, 208,208
8846, 208,208
8891, 208,208
8937, 208,208
8983, 208,208
9028, 208,208
9075, 208,208
9120, 208,208
9166, 208,208
9211, 208,208
9257, 208,208
9303, 208,208
9348, 208,208
9394, 208,208
9440, 208,208
9486, 208,208
9531, 208,208
9577, 208,208
9623, 208,208
9668, 208,208
9714, 208,208
9760, 208,208
9806, 208,208
9851, 208,208
9897, 208,208
9943, 208,208
9988, 208,208
10034, 208,208
10085, 208,208
10131, 208,208
10177, 208,208
10222, 208,208
10268, 208,208
10314, 208,208
10359, 208,208
10405, 208,208
10451, 208,208
10496, 208,208
10542, 208,208
10587, 208,208
10633, 208,208
10678, 208,208
10724, 208,208
10770, 208,208
10816, 208,208
10861, 208,208
10907, 208,208
10953, 208,208
10998, 208,208
11044, 208,208
11090, 208,208
11136, 208,208
11181, 208,208
11227, 208,208
